"","names","idarea","code_muni"
"514","TREMEMBÉ",616,3554805
"515","ALTINÓPOLIS",12,3501004
"516","INDAIATUBA",238,3520509
"517","MOGI DAS CRUZES",346,3530607
"518","IRACEMÁPOLIS",248,3521408
"519","TORRINHA",614,3554706
"520","PARAPUÃ",407,3536000
"521","UBIRAJARA",625,3555505
"522","COROADOS",141,3512506
"523","BÁLSAMO",55,3504800
"524","MESÓPOLIS",336,3529658
"525","JUNDIAÍ",296,3525904
"526","ARAÇARIGUAMA",31,3502754
"527","PIRASSUNUNGA",442,3539301
"528","ORINDIÚVA",388,3534203
"529","FERNANDÓPOLIS",181,3515509
"530","ITÁPOLIS",263,3522703
"531","PARDINHO",408,3536109
"532","IPORANGA",246,3521200
"533","DOIS CÓRREGOS",158,3514106
"534","CASA BRANCA",124,3510807
"535","ITAQUAQUECETUBA",267,3523107
"536","BURITIZAL",94,3508207
"537","PIACATU",427,3537701
"538","SANTA CRUZ DA ESPERANÇA",520,3546256
"539","ESPÍRITO SANTO DO PINHAL",173,3515186
"540","ITAPURA",266,3523008
"541","SALESÓPOLIS",507,3545001
"542","PINDORAMA",431,3538105
"543","JABORANDI",278,3524204
"544","MURUTINGA DO SUL",362,3532108
"545","CARAPICUÍBA",122,3510609
"546","VISTA ALEGRE DO ALTO",641,3556909
"547","UBARANA",623,3555356
"548","FRANCISCO MORATO",189,3516309
"549","MANDURI",324,3528601
"550","LUIZIÂNIA",315,3527702
"551","CAPELA DO ALTO",119,3510302
"552","ALTO ALEGRE",13,3501103
"553","CAMPINA DO MONTE ALEGRE",108,3509452
"554","NOVA CANAÃ PAULISTA",372,3532843
"555","MONTE ALEGRE DO SUL",352,3531209
"556","PRATÂNIA",463,3541059
"557","CAMPO LIMPO PAULISTA",110,3509601
"558","FERRAZ DE VASCONCELOS",183,3515707
"559","NOVA LUZITÂNIA",378,3533304
"560","SANTOS",545,3548500
"561","SANTO ANTÔNIO DO ARACANGUÁ",540,3548054
"562","MONTE MOR",357,3531803
"563","LUTÉCIA",317,3527900
"564","SANTA MARIA DA SERRA",528,3547007
"565","RIO DAS PEDRAS",495,3544004
"566","CORONEL MACEDO",142,3512605
"567","SÃO JOÃO DE IRACEMA",553,3549250
"568","FLÓRIDA PAULISTA",186,3516002
"569","IBATÉ",224,3519303
"570","PIEDADE",428,3537800
"571","ITOBI",274,3523800
"572","OUROESTE",395,3534757
"573","NHANDEARA",368,3532603
"574","QUEIROZ",472,3541802
"575","CRAVINHOS",147,3513108
"576","SÃO MANUEL",563,3550100
"577","SALTO GRANDE",512,3545407
"578","VIRADOURO",640,3556800
"579","DIADEMA",154,3513801
"580","EMILIANÓPOLIS",171,3515129
"581","TAQUARAL",600,3553658
"582","VERA CRUZ",638,3556602
"583","SANTA RITA D'OESTE",530,3547403
"584","SOROCABA",584,3552205
"585","POLONI",448,3539905
"586","IPERÓ",243,3521002
"587","NOVA EUROPA",374,3532900
"588","ALAMBARI",9,3500758
"589","PRADÓPOLIS",461,3540903
"590","GUARACI",206,3517901
"591","DUARTINA",162,3514502
"592","BARRINHA",64,3505609
"593","GENERAL SALGADO",196,3516903
"594","REDENÇÃO DA SERRA",477,3542305
"595","AMPARO",22,3501905
"596","TATUÍ",606,3554003
"597","GUARULHOS",215,3518800
"598","ESPÍRITO SANTO DO TURVO",174,3515194
"599","SÃO ROQUE",568,3550605
"600","CAIABU",101,3508900
"601","VALENTIM GENTIL",631,3556107
"602","IGARATÁ",233,3520202
"603","RIBEIRÃO BONITO",483,3542909
"604","CHARQUEADA",133,3511706
"605","BORACÉIA",83,3507308
"606","TAIÚVA",595,3553203
